" If you run the site in developer mode, full email information is logged in var/log/giftcert.log"," Wenn die Seite im Developer Modus läuft, dann werden alle Informationen in var/log/giftcert.log mitgeloggt"
"%d emails could not be sent.","%d Emails konnten nicht versendet weden."
"* Magento Bundled Fonts","* Magento Bundled Fonts"
"* Please select","* Bitte auswählen"
"<strong>If this is checked all changes made to PDF settings will be ignored.</strong>","<strong>Wenn dieser Punkt ausgewählt ist, werden hier geänderten PDF Einstellungen ignoriert.</strong>"
"Accepts random patters same as Certificate Number","Akzeptiert zufällige Vorlagen so wie die Gutschein-Nummer"
"Active","Aktiv"
"Add certificate info to order details","Füge Gutscheininformation zu Bestellung hinzu"
"Add New Gift Certificate","Neuen Gutschein hinzufügen"
"Add Row","Neue Zeile"
"Add Unique Message (optional):","Eine Nachricht hinzufügen (Optional):"
"Admin Created","Erstellt durch Admin"
"Administrative Configuration","Administrative Konfiguration"
"All Files","Alle Dateien"
"Allow custom message","Erlaube Kunden-Nachricht"
"Allow only one certificate per order (Single mode)","Erlaube nur ein Gutschein pro Bestellung (Single mode)"
"Allow recipient's address","Erlaube Empfänger Adresse"
"Allow recipient's email","Erlaube Empfänger Email"
"Always handle GC as virtual products","Gutschein als virtuelles Produkt behandeln"
"Amount is not within the specified range.","Der Betrag ist nicht innerhalb des gültigen Bereichs."
"Amount values configuration","Beträge konfigurieren"
"Amount","Betrag"
"An error occurred while importing:","Ein Fehler ist beim Import aufgetreten:"
"An error occurred while saving this configuration:","Ein Fehler ist beim Speichern der Konfiguration aufgetreten:"
"Apply certificate only if the following conditions are met (leave blank for all products)","Füge nur den Gutschein hinzu, wenn die folgenden Regeln zutreffen (leer lassen für alle Produkte)"
"Are you sure?","Sind Sie sicher?"
"Auto generate certificate number","Gutschein-Nr. automatisch generieren"
"Auto generate PIN","PIN automatisch generieren"
"Balance","Guthaben"
"Balance: ","Guthaben: "
"Bold","Fett"
"By email only","Nur per Mail"
"Can not create multiple Gift Certificates with the same code.","Es können keine mehrfachen Gutscheine mit dem gleichem Code erzeugt werden."
"Card Number","Karten-Nummer"
"Certificate balance","Gutschein Gutahaben"
"Certificate code column not found in file","Gutschein Code Feld wurde nicht in der Datei gefunden"
"Certificate Code","Gutschein-Code"
"Certificate ID","Gutschein-ID"
"Certificate number pattern","Gutschein-Nr. Muster"
"Certificate number(s)","Gutschein Nummer(n)"
"Change status to active on payment completion","Ändere Status um die Bezahlung zu vervollständigen"
"Change status","Status ändern"
"Characters Remaining:","Verbleibende Zeichen:"
"Check Balance","Guthaben überprüfen"
"Check Your Gift Card Balance","Gutschein-Guthaben überprüfen"
"code: ","code: "
"Color","Farbe"
"Comments","Kommentare"
"Conditions","Regeln"
"Courier","Courier"
"Create gift certificate","Gutschein erstellen"
"Create gift certificates","Gutscheine erstellen"
"Create","Erstellen"
"Created At","Erstellt am"
"CSV and Tab Separated files (.csv, .txt)","CSV und kommagetrennte Dateien (.csv, .txt)"
"CSV field delimiter","CSV Feld Trenner"
"CSV field enclosure","CSV Texterkennungszeichen"
"CSV file name","CSV Dateiname"
"CSV","CSV"
"Currency code","Währungscode"
"Currency","Währung"
"Custom message max length","Max. Länge der Kunden-Nachricht"
"Custom message","Nachricht"
"Customer Created","Erstellt durch Kunde"
"Customer Email","Kunden Email"
"Default Expiration Timespan (in days)","Standard-Verfallsdatum (in Tagen)"
"Default status","Standard Status"
"Defaults","Allgemeine Optionen"
"Delete entry","Eintrag löschen"
"Delete Gift Certificate","Gutschein löschen"
"Delete gift certificates","Gutscheine löschen"
"Delete","Löschen"
"Delimiter","Trenner"
"Directly to someone else","Direkt an jemand anderen"
"Display full totals info in cart","Zeige die Gesamtsumme im Warenkorb an"
"Domains included in your license","Domains die Ihre Lizenz beinhalten"
